Slice ID; Slice Priority old; Slice Request; Slice old alloc; Slice Priority new; slice new alloc
3; 72; 204.000000; 213.947368; 9; 204.000000;
4; 63; 155.000000; 54.000000; 63; 155.000000;
19; 56; 267.000000; 519.000000; 56; 267.000000;
6; 55; 52.000000; 48.000000; 55; 52.000000;
10; 45; 316.000000; 16.000000; 45; 316.000000;
15; 44; 402.000000; 554.000000; 44; 402.000000;
18; 42; 185.000000; 501.000000; 42; 185.000000;
0; 39; 262.000000; 309.035088; 26; 262.000000;
14; 36; 204.000000; 319.000000; 36; 204.000000;
12; 35; 593.000000; 237.719298; 88; 349.507042;
16; 35; 464.000000; 221.000000; 61; 349.507042;
5; 33; 497.000000; 430.000000; 54; 329.535211;
8; 20; 222.000000; 261.000000; 37; 199.718310;
9; 19; 307.000000; 191.000000; 30; 189.732394;



2; 96; 268.000000; 268.000000; 96; 268.000000;
17; 95; 238.000000; 238.000000; 95; 238.000000;
12; 88; 428.000000; 349.507042; 20; 428.000000;
1; 76; 332.000000; 332.000000; 76; 332.000000;
7; 74; 155.000000; 242.000000; 74; 155.000000;
4; 63; 52.000000; 155.000000; 63; 52.000000;
16; 61; 262.000000; 349.507042; 35; 262.000000;
