Simulation Time(s); Slice ID; Slice Priority old; Slice Request; Slice old alloc; Slice Priority new; slice new alloc
14; 17; 84; 17.601594; 17.302946; 84; 17.601594;
14; 5; 80; 11.402129; 8.795256; 80; 11.402129;
14; 3; 79; 18.933370; 18.448203; 79; 18.933370;
14; 10; 74; 46.424084; 48.084343; 74; 46.424084;
14; 12; 67; 46.011755; 44.295756; 67; 46.011755;
14; 6; 59; 8.172710; 9.778776; 59; 8.172710;
14; 9; 59; 48.590048; 48.461492; 59; 48.590048;
14; 7; 57; 17.358094; 15.225306; 4; 17.358094;
14; 19; 54; 47.320621; 45.050383; 54; 47.320621;
14; 4; 48; 4.282336; 5.864393; 48; 4.282336;
14; 0; 46; 4.282336; 5.864393; 46; 4.282336;
14; 15; 42; 18.585348; 17.450396; 42; 18.585348;
14; 11; 35; 46.032366; 46.393239; 35; 46.032366;
14; 1; 30; 45.481608; 45.820353; 30; 45.481608;
14; 8; 19; 15.390541; 18.711784; 19; 15.390541;
14; 2; 16; 38.643910; 39.418516; 16; 38.643910;
14; 16; 16; 46.355806; 45.893346; 16; 46.355806;
14; 13; 9; 15.388258; 15.916868; 9; 15.388258;
14; 14; 8; 45.551016; 45.687570; 15; 44.831289;



15; 18; 94; 18.369008; 18.911797; 94; 18.369008;
15; 17; 84; 18.242275; 17.601594; 84; 18.242275;
15; 5; 80; 9.394559; 11.402129; 80; 9.394559;
15; 3; 79; 17.555657; 18.933370; 79; 17.555657;
15; 10; 74; 46.976188; 46.424084; 74; 46.976188;
15; 12; 67; 46.000608; 46.011755; 67; 46.000608;
15; 6; 59; 9.366009; 8.172710; 59; 9.366009;
15; 9; 59; 48.863551; 48.590048; 59; 48.863551;
15; 19; 54; 46.344878; 47.320621; 54; 46.344878;
15; 4; 48; 6.530207; 4.282336; 48; 6.530207;
15; 0; 46; 6.530207; 4.282336; 46; 6.530207;
15; 15; 42; 19.154758; 18.585348; 42; 19.154758;
15; 11; 35; 46.449953; 46.032366; 35; 46.449953;
15; 1; 30; 47.028397; 45.481608; 30; 47.028397;
15; 8; 19; 15.473069; 15.390541; 19; 15.473069;
15; 2; 16; 36.399720; 38.643910; 16; 36.399720;
15; 16; 16; 46.107003; 46.355806; 16; 46.107003;
15; 14; 15; 45.286701; 44.831289; 8; 45.286701;
15; 13; 9; 15.744804; 15.388258; 9; 15.744804;
15; 7; 4; 16.831432; 17.358094; 7; 14.182448;



16; 18; 94; 17.968677; 18.369008; 94; 18.369008;
16; 17; 84; 17.502122; 18.242275; 84; 18.242275;
16; 5; 80; 7.913949; 9.394559; 80; 9.394559;
16; 3; 79; 17.413895; 17.555657; 79; 17.555657;
16; 10; 74; 46.261321; 46.976188; 74; 46.976188;
16; 12; 67; 46.014327; 46.000608; 67; 46.014327;
16; 6; 59; 3.814575; 9.366009; 59; 9.366009;
