Simulation Time(s); Slice ID; Slice Priority old; Slice Request; Slice old alloc; Slice Priority new; slice new alloc
17; 13; 26; 15.186451; 15.678826; 26; 15.186451;
17; 4; 19; 3.339340; 3.125979; 19; 3.339340;
17; 10; 15; 46.263209; 46.261321; 15; 46.263209;
17; 19; 15; 45.883294; 46.447387; 15; 45.883294;
17; 18; 13; 18.809196; 17.968677; 13; 18.809196;
17; 8; 12; 17.625421; 17.187739; 12; 17.625421;
17; 9; 11; 48.717450; 48.673410; 11; 48.717450;
17; 12; 10; 47.495450; 46.014327; 10; 47.495450;
17; 1; 9; 46.195732; 45.860886; 17; 44.498043;
17; 16; 9; 45.535350; 15.946666; 13; 9.296785;



18; 17; 92; 18.060973; 18.762420; 92; 18.060973;
18; 0; 72; 5.175422; 3.339340; 72; 5.175422;
18; 11; 61; 46.354051; 47.520642; 61; 46.354051;
18; 6; 55; 10.282062; 7.850573; 55; 10.282062;
18; 14; 52; 45.888061; 45.906332; 52; 45.888061;
18; 7; 48; 17.011430; 16.445902; 48; 17.011430;
18; 5; 46; 10.377952; 10.706285; 46; 10.377952;
18; 15; 36; 18.456023; 17.954104; 36; 18.456023;
18; 3; 30; 19.107225; 18.773720; 30; 19.107225;
18; 2; 30; 37.391269; 35.626043; 30; 37.391269;
18; 13; 26; 15.307140; 15.186451; 26; 15.307140;
18; 4; 19; 5.175422; 3.339340; 19; 5.175422;
18; 1; 17; 46.115250; 44.498043; 9; 46.115250;
18; 19; 15; 48.464875; 45.883294; 15; 48.464875;
18; 10; 15; 46.261679; 46.263209; 15; 46.261679;
18; 18; 13; 18.220275; 18.809196; 13; 18.220275;
18; 16; 13; 43.817155; 9.296785; 7; 43.817155;
18; 8; 12; 15.203766; 17.625421; 12; 15.203766;
18; 9; 11; 48.262622; 48.717450; 19; 35.137329;
18; 12; 10; 46.377977; 47.495450; 13; 18.192641;



19; 17; 92; 18.324623; 18.060973; 92; 18.324623;
19; 0; 72; 11.410596; 5.175422; 72; 11.410596;
19; 11; 61; 45.821349; 46.354051; 61; 45.821349;
19; 6; 55; 6.550989; 10.282062; 55; 6.550989;
19; 14; 52; 47.412354; 45.888061; 52; 47.412354;
19; 7; 48; 16.462725; 17.011430; 48; 16.462725;
19; 5; 46; 12.758235; 10.377952; 46; 12.758235;
19; 15; 36; 16.580286; 18.456023; 36; 16.580286;
19; 3; 30; 16.511615; 19.107225; 30; 16.511615;
